epoch,step,train_loss,val_loss
0,49,0.03372738688980841,
0,99,0.019443149586591293,
0,149,0.015735193197937702,
0,199,0.014323897652217988,
0,249,0.012411456209250113,
0,299,0.00806120503963756,
0,349,0.009353667520331125,
0,399,0.013400277972076286,
0,449,0.007885243323414403,
0,499,0.004342800316751105,
0,549,0.005114313702482144,
0,569,,0.6428118214572127
1,599,0.006466992378629835,
1,649,0.00926191080022482,
1,699,0.006255285348924042,
1,749,0.006958584276481243,
1,799,0.006060036838108342,
1,849,0.006762380618368589,
1,899,0.004449595700005435,
1,949,0.0065928986198213226,
1,999,0.004294765770114327,
1,1049,0.006556889495431313,
1,1099,0.007791867952277565,
1,1139,,0.5537528299044144
2,1149,0.004734825124343409,
2,1199,0.005055504943613518,
2,1249,0.0030469472745970603,
2,1299,0.005248737701385615,
2,1349,0.003666558989514802,
2,1399,0.00481244197875915,
2,1449,0.004818618850941402,
2,1499,0.0033156111719521287,
2,1549,0.00476413545970127,
2,1599,0.0035630815199586535,
2,1649,0.0039925108386930745,
2,1699,0.0077521880943090815,
2,1709,,0.5311793827759698
3,1749,0.0035591184058864664,
3,1799,0.006131863555655045,
3,1849,0.0035497630788372796,
3,1899,0.005617977354225495,
3,1949,0.0062851817418403495,
3,1999,0.0035301627448464934,
3,2049,0.003949944059773544,
3,2099,0.004856241948982696,
3,2149,0.00406102210512674,
3,2199,0.003965608528385053,
3,2249,0.004685817539196697,
3,2279,,0.5293199134874321
4,2299,0.0024680950595106052,
4,2349,0.005350503329040799,
4,2399,0.004293372241541574,
4,2449,0.0031759526453510427,
4,2499,0.004757691075282884,
4,2549,0.0033241834308692267,
4,2599,0.005620227515103002,
4,2649,0.0037057407656174387,
4,2699,0.0024999634100219986,
4,2749,0.004473939727630686,
4,2799,0.003372635500701622,
4,2849,0.004175164809815024,
4,2849,,0.5298519116435807
5,2899,0.0046510092846094855,
5,2949,0.00470516861889416,
5,2999,0.006826622886158817,
5,3049,0.006098496385988806,
5,3099,0.004208855624810857,
5,3149,0.004944994231085318,
5,3199,0.004493607922513033,
5,3249,0.003708047742389796,
5,3299,0.004546189732864633,
5,3349,0.004114978725699469,
5,3399,0.004162251729612751,
5,3419,,0.5239403131062278
6,3449,0.004285622102390563,
6,3499,0.0043656188262706655,
6,3549,0.006650865872409411,
6,3599,0.003335445102286038,
6,3649,0.005109336083338132,
6,3699,0.004779971837435201,
6,3749,0.0035517731961324994,
6,3799,0.005552643212980422,
6,3849,0.0047133710456067355,
6,3899,0.004744455733271369,
6,3949,0.006440418170901685,
6,3989,,0.5008805231244405
7,3999,0.005199766833270777,
7,4049,0.004311641618484656,
7,4099,0.00548619705744363,
7,4149,0.003864264791519837,
7,4199,0.002433199789327527,
7,4249,0.0034451070099212437,
7,4299,0.0032928617184552617,
7,4349,0.004406510021643317,
7,4399,0.005128550966959191,
7,4449,0.007302987808325731,
7,4499,0.0033281677785005352,
7,4549,0.004822637515849531,
7,4559,,0.48978768706123915
8,4599,0.003025123051338816,
8,4649,0.0045185042716967974,
8,4699,0.006208969078165451,
8,4749,0.0031548698931233147,
8,4799,0.003950300533564279,
8,4849,0.0036500389011213676,
8,4899,0.00464018999331911,
8,4949,0.0050384224476700615,
8,4999,0.004080301776315272,
8,5049,0.0033367163573081214,
8,5099,0.002986811570386745,
8,5129,,0.4721232791433164
9,5149,0.00647564067540937,
9,5199,0.0025552844080772813,
9,5249,0.0035818784054563765,
9,5299,0.003897208480555205,
9,5349,0.004551073949851544,
9,5399,0.003262857968519479,
9,5449,0.0026023764568319824,
9,5499,0.003101218887745409,
9,5549,0.0035575457062348606,
9,5599,0.004786467205685809,
9,5649,0.0026972705938974983,
9,5699,0.0064394804288186655,
9,5699,,0.46768672691204294
10,5749,0.00426163120868764,
10,5799,0.002502247688508597,
10,5849,0.005539867248471559,
10,5899,0.0065672824375034205,
10,5949,0.004333616977740326,
10,5999,0.0021127757585490264,
10,6049,0.007725182071245299,
10,6099,0.004564556562893217,
10,6149,0.00418050315859257,
10,6199,0.0044865912165727075,
10,6249,0.0030435991962943407,
10,6269,,0.46703427481475124
11,6299,0.005189672455821928,
11,6349,0.005011433473736411,
11,6399,0.0034414784387930865,
11,6449,0.005841632019587395,
11,6499,0.0030140420848313518,
11,6549,0.002802234113296678,
11,6599,0.003723381543235728,
11,6649,0.0038045075708542935,
11,6699,0.004751746966246792,
11,6749,0.006252323092443397,
11,6799,0.0019723997962102684,
11,6839,,0.4796601900103611
12,6849,0.0031873597360010907,
12,6899,0.006313852778092239,
12,6949,0.0028924471987282143,
12,6999,0.002735707673954137,
12,7049,0.003098963816012027,
12,7099,0.0025519100293384094,
12,7149,0.00456920064195539,
12,7199,0.0070322946787622536,
12,7249,0.005313057480235265,
12,7299,0.0029931079246395095,
12,7349,0.007248661859244739,
12,7399,0.004468717027062498,
12,7409,,0.4977755253995614
13,7449,0.002346857764710756,
13,7499,0.0051980180035509325,
13,7549,0.004223379510362232,
13,7599,0.0039109864811746175,
13,7649,0.0031714367226963816,
13,7699,0.0028628852359412035,
13,7749,0.00525483137523616,
13,7799,0.004776224178042688,
13,7849,0.004691081605110392,
13,7899,0.0034974243720496878,
13,7949,0.003441569409661064,
13,7979,,0.5148189249892006
